CCN,CODCNH,Nombre Centro,Dirección,Teléfono,Cód. Municipio,Municipio,Cód. Provincia,Provincia,Cód. CCAA,CCAA,Código Postal,CAMAS,Cód. Clase de Centro,Clase de Centro,Cód. Dep. Funcional,Dependencia Funcional,Forma parte Complejo,CODIDCOM,Nombre del Complejo,ALTA,Email,lat,lon
114003703,140263,Hospital Palma del Río,Avenida V Califa S/N,000000000,140214,Córdoba,14,Córdoba,1,Andalucía,14700,20,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,140023.0,Hospital Universitario Reina Sofía,N,,,
123003109,230206,Centro Hospitalario de Alta Resolución de Cazorla,Carretera A-319 Cazorla-Peal del Becerro S/N,953028611,230281,Cazorla,23,Jaén,1,Andalucía,23470,26,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,230228.0,Hospital San Juan de La Cruz,N,cesareoj.granados.sspa@juntadeandalucia.es,,
123003108,230195,Hospital Puerta de Andalucía,Carretera Carretera Bailen-Motril S/N,953008000,230503,Jaén,23,Jaén,1,Andalucía,23009,79,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,230119.0,Hospital Universitario de Jaén,N,mcarmen.merino.sspa@juntadeandalucia.es,,
925001345,250243,Avantmedic,Calle Alfred Pereña 10,973728292,251207,Lleida,25,Lleida,9,Cataluña,25008,19,C190,Otros Centros con Internamiento,20,Privados,N,,,N,,,
333005968,330409,Centro de Tratamiento Integral Montevil,Calle Álava 67,985142483,330241,Gijón,33,Asturias,3,Ppdo. de Asturias,33210,21,C190,Otros Centros con Internamiento,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,saludmental.montevil@sespa.es,,
333005582,330325,Hospital Vital Álvarez Buylla,Calle Vistalegre 2,985458500,330371,Mieres,33,Asturias,3,Ppdo. de Asturias,33619,176,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,,
333005595,330322,Cti de La Corredoria,Calle Molin Los Canales S/N,985292360,330447,Oviedo,33,Asturias,3,Ppdo. de Asturias,33011,22,C190,Otros Centros con Internamiento,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,N,,,N,,,
742001402,420051,Hospital Latorre,"Camino De Los Royales, 8 S/N",975950450,421736,Soria,42,Soria,7,Castilla y León,42005,29,C11,Hospitales Generales,20,Privados,N,,,N,direccion@hospital-latorre.com,,
747004211,470124,Hospital Casaverde Valladolid,Calle Universo C.V. A C Astrofísico Carlos Sánchez Magro S/N,0,471868,Valladolid,47,Valladolid,7,Castilla y León,47011,99,C12,Hospitales especializados,20,Privados,N,,,S,,,
111004486,110213,Hospital de Alta Resolución de Especialidades de La Janda,Poligono 53 Parcela 72 S/N,955018063,110393,Vejer de la Frontera,11,Cádiz,1,Andalucía,11150,24,C11,Hospitales Generales,2,Servicios e Institutos de Salud de Las Comunidades Autónomas,S,110338.0,Hospital Universitario de Puerto Real,N,direccion.gerencia.sspa@juntadeandalucia,,
407003804,70445,Hospital Sant Joan de Deu Inca,Avenida Jaume II 44,097126585,70276,Inca,7,Illes Balears,4,Illes Balears,7300,80,C12,Hospitales especializados,20,Privados,N,,,N,,,
908014888,82279,Eatica,Calle Anglí 64,620407483,80193,Barcelona,8,Barcelona,9,Cataluña,8017,32,C14,Hospitales de salud mental y tratamiento de toxicomanías,20,Privados,N,,,N,mailto:montse.s.povedano@eatica.com,,
908014829,82268,"Ronda de Dalt, Centre Sociosanitari",Calle Pare Mariana 15,937064156,80193,Barcelona,8,Barcelona,9,Cataluña,8035,34,C13,Hospitales de media y larga estancia,20,Privados,N,,,N,info@rondadedaltresidencial.com,,
